datetime,Current,Active_Power,Fordward_Energy,createdAt
2023-05-18 16:45:52.812,0.74,110,0.14,2023-05-18 16:45:52.812
2023-05-18 16:45:58.425,0.75,110,0.14,2023-05-18 16:45:58.425
2023-05-18 16:46:04.504,0.75,110,0.14,2023-05-18 16:46:04.504
2023-05-18 16:46:10.638,0.75,110,0.14,2023-05-18 16:46:10.638
2023-05-18 16:46:21.467,0.75,110,0.14,2023-05-18 16:46:21.467
2023-05-18 16:46:32.433,0.75,110,0.14,2023-05-18 16:46:32.433
2023-05-18 16:46:38.190,0.75,110,0.14,2023-05-18 16:46:38.190
2023-05-18 16:46:49.009,0.75,110,0.14,2023-05-18 16:46:49.009
2023-05-18 16:46:59.848,0.75,110,0.14,2023-05-18 16:46:59.848
2023-05-18 16:47:10.834,0.75,110,0.14,2023-05-18 16:47:10.834
2023-05-18 16:47:16.503,0.75,110,0.14,2023-05-18 16:47:16.503
2023-05-18 16:47:22.640,0.75,110,0.14,2023-05-18 16:47:22.640
2023-05-18 16:47:28.415,0.75,110,0.14,2023-05-18 16:47:28.415
2023-05-18 16:47:34.160,0.75,110,0.14,2023-05-18 16:47:34.160
2023-05-18 16:47:39.872,0.75,111,0.14,2023-05-18 16:47:39.872
2023-05-18 16:47:45.718,0.75,111,0.15,2023-05-18 16:47:45.718
2023-05-18 16:47:52.043,0.75,111,0.15,2023-05-18 16:47:52.043
2023-05-18 16:47:57.774,0.75,111,0.15,2023-05-18 16:47:57.774
2023-05-18 16:48:03.894,0.75,111,0.15,2023-05-18 16:48:03.894
2023-05-18 16:48:09.661,0.75,111,0.15,2023-05-18 16:48:09.661
2023-05-18 16:48:15.743,0.75,111,0.15,2023-05-18 16:48:15.743
2023-05-18 16:48:21.488,0.75,111,0.15,2023-05-18 16:48:21.488
2023-05-18 16:48:27.562,0.75,111,0.15,2023-05-18 16:48:27.562
2023-05-18 16:48:33.313,0.75,111,0.15,2023-05-18 16:48:33.313
2023-05-18 16:48:45.225,0.76,111,0.15,2023-05-18 16:48:45.225
2023-05-18 16:48:56.044,0.75,111,0.15,2023-05-18 16:48:56.044
2023-05-18 16:49:06.996,0.75,111,0.15,2023-05-18 16:49:06.996
2023-05-18 16:49:18.106,0.75,111,0.15,2023-05-18 16:49:18.106
2023-05-18 16:49:27.444,0.75,111,0.15,2023-05-18 16:49:27.444
2023-05-18 16:49:33.202,0.76,111,0.15,2023-05-18 16:49:33.202
2023-05-18 16:49:38.968,0.77,111,0.15,2023-05-18 16:49:38.968
2023-05-18 16:49:44.745,0.77,111,0.15,2023-05-18 16:49:44.745
2023-05-18 16:49:50.528,0.77,111,0.15,2023-05-18 16:49:50.528
2023-05-18 16:49:56.273,0.77,111,0.15,2023-05-18 16:49:56.273
2023-05-18 16:50:01.307,0.77,111,0.15,2023-05-18 16:50:01.307
2023-05-18 16:50:07.153,0.76,111,0.15,2023-05-18 16:50:07.153
2023-05-18 16:50:18.254,0.78,111,0.15,2023-05-18 16:50:18.254
2023-05-18 16:50:29.150,0.77,111,0.15,2023-05-18 16:50:29.150
2023-05-18 16:50:40.022,0.76,111,0.15,2023-05-18 16:50:40.022
2023-05-18 16:50:50.964,0.78,111,0.15,2023-05-18 16:50:50.964
2023-05-18 16:51:02.367,0.76,111,0.15,2023-05-18 16:51:02.367
2023-05-18 16:51:08.296,0.77,111,0.15,2023-05-18 16:51:08.296
2023-05-18 16:51:14.068,0.77,111,0.15,2023-05-18 16:51:14.068
2023-05-18 16:51:20.025,0.76,111,0.15,2023-05-18 16:51:20.025
2023-05-18 16:51:25.823,0.77,111,0.15,2023-05-18 16:51:25.823
2023-05-18 16:51:31.625,0.78,111,0.15,2023-05-18 16:51:31.625
2023-05-18 16:51:37.317,0.78,111,0.15,2023-05-18 16:51:37.317
2023-05-18 16:51:43.147,0.77,111,0.15,2023-05-18 16:51:43.147
2023-05-18 16:51:48.911,0.77,111,0.15,2023-05-18 16:51:48.911
2023-05-18 16:51:54.664,0.76,111,0.15,2023-05-18 16:51:54.664
2023-05-18 16:52:00.323,0.77,111,0.15,2023-05-18 16:52:00.323
2023-05-18 16:52:06.202,0.78,111,0.15,2023-05-18 16:52:06.202
2023-05-18 16:52:11.955,0.79,111,0.15,2023-05-18 16:52:11.955
2023-05-18 16:52:17.511,0.78,111,0.15,2023-05-18 16:52:17.511
2023-05-18 16:52:23.458,0.76,111,0.15,2023-05-18 16:52:23.458
